attribute_id,entity_type_id,attribute_code,attribute_model,backend_model,backend_type,backend_table,frontend_model,frontend_input,frontend_label,frontend_class,source_model,is_required,is_user_defined,default_value,is_unique,note,frontend_input_renderer,is_global,is_visible,is_searchable,is_filterable,is_comparable,is_visible_on_front,is_html_allowed_on_front,is_used_for_price_rules,is_filterable_in_search,used_in_product_listing,used_for_sort_by,is_configurable,apply_to,is_visible_in_advanced_search,position,is_wysiwyg_enabled,is_used_for_promo_rules,layered_navigation_canonical,store_name,frontend_display_type,range_slider_range,range_slider_step,range_slider_default,categories,_options,_attribute_sets
,4,emission,,,varchar,,,text,CO2 emissions (g/km),,,0,1,,0,,,1,1,1,0,1,0,1,0,0,1,0,0,,1,1,0,0,0,,0,,,,,,Default>>>Emissions;;;MIN>>>Emissions;;;MOT>>>Emissions;;;BMW>>>Emissions
,4,fuel_tank_capacity_in_litres,,,varchar,,,text,Fuel Tank Capacity (Litres),,,0,1,,0,,,1,1,0,0,1,0,1,0,0,0,0,0,,0,26,0,0,0,,,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,ec_extra_urban_mpg,,,varchar,,,text,Out of Town (l/100km),,,0,1,,0,,,1,1,1,0,1,0,1,0,0,0,0,0,,1,3,0,0,0,,0,,,,,,Default>>>Emissions;;;MIN>>>Emissions;;;MOT>>>Emissions;;;BMW>>>Emissions
,4,ec_combined_mpg,,,varchar,,,text,Combined (l/100km),,,0,1,,0,,,1,1,1,0,1,0,1,0,0,1,0,0,,1,2,0,0,0,,0,,,,,,Default>>>Emissions;;;MIN>>>Emissions;;;MOT>>>Emissions;;;BMW>>>Emissions
,4,max_towing_weight_braked,,,varchar,,,text,Max. Towing Weight - Braked,,,0,1,,0,,,1,1,1,0,1,0,1,0,0,0,0,0,,1,28,0,0,0,,,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,wheelbase,,,varchar,,,text,Wheelbase,,,0,1,,0,,,1,1,1,0,1,0,1,0,0,0,0,0,,1,23,0,0,0,,,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,top_speed,,,varchar,,,text,Top Speed,validate-digits,,0,1,,0,,,1,1,1,0,1,0,1,0,0,0,0,0,,1,7,0,0,0,,,,,,,,Default>>>Engine and Performance;;;MIN>>>Engine and Performance;;;MOT>>>Engine and Performance;;;BMW>>>Engine and Performance
,4,ec_urban_mpg,,,varchar,,,text,In Town (l/100km),,,0,1,,0,,,1,1,1,0,1,0,1,0,0,0,0,0,,1,4,0,0,0,,0,,,,,,Default>>>Emissions;;;MIN>>>Emissions;;;MOT>>>Emissions;;;BMW>>>Emissions
,4,height,,,varchar,,,text,Height,,,0,1,,0,,,1,1,1,0,1,0,1,0,0,0,0,0,,1,21,0,0,0,,,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,length,,,varchar,,,text,Length,,,0,1,,0,,,1,1,1,0,1,0,1,0,0,0,0,0,,1,22,0,0,0,,,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,width,,,varchar,,,text,Width,,,0,1,,0,,,1,1,1,0,1,0,1,0,0,0,0,0,,1,24,0,0,0,,,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,wheel_type,,,varchar,,,select,Wheel Type,,,0,0,,0,,,1,1,1,0,0,1,1,0,1,1,1,1,,1,0,0,0,0,,0,,,,,,Default>>>Vehicle Details;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,partial_payment,,,int,,,boolean,Allow Partial Payment,,eav/entity_attribute_source_boolean,1,1,0,0,,,1,1,0,0,0,0,0,1,0,0,0,0,,0,0,0,1,0,,,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,remove_compare_link,,,int,,,boolean,Remove Compare Link,,eav/entity_attribute_source_boolean,1,1,0,0,,,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
